Entity,Code,Day,Unvaccinated people (cumulative)
Afghanistan,AFG,2021-02-22,39671220
Afghanistan,AFG,2021-02-28,39678330
Afghanistan,AFG,2021-03-16,39673360
Afghanistan,AFG,2021-04-07,39663500
Afghanistan,AFG,2021-04-22,39581780
Afghanistan,AFG,2021-05-11,39421388
Afghanistan,AFG,2021-05-20,39422892
Afghanistan,AFG,2021-05-24,39427070
Afghanistan,AFG,2021-05-26,39429172
Afghanistan,AFG,2021-05-27,39431520
Afghanistan,AFG,2021-05-30,39438524
Afghanistan,AFG,2021-06-02,39444716
Afghanistan,AFG,2021-06-03,39447156
Afghanistan,AFG,2021-06-08,39458764
Afghanistan,AFG,2021-06-14,39472292
Afghanistan,AFG,2021-06-22,39395316
Afghanistan,AFG,2021-06-27,39340770
Afghanistan,AFG,2021-06-30,39298660
Afghanistan,AFG,2021-07-05,39280400
Afghanistan,AFG,2021-07-07,39274704
Afghanistan,AFG,2021-07-11,39273324
Afghanistan,AFG,2021-08-20,39309104
Afghanistan,AFG,2021-08-31,39324080
Afghanistan,AFG,2021-09-30,39316024
Afghanistan,AFG,2021-11-14,36685764
Afghanistan,AFG,2021-12-27,36141224
Afghanistan,AFG,2022-01-09,35946110
Afghanistan,AFG,2022-01-11,35929036
Afghanistan,AFG,2022-01-13,35905124
Afghanistan,AFG,2022-01-17,35884436
Afghanistan,AFG,2022-01-19,35870320
Afghanistan,AFG,2022-01-24,35841930
Afghanistan,AFG,2022-01-26,35820252
Afghanistan,AFG,2022-01-27,35815828
Afghanistan,AFG,2022-01-31,35784900
Afghanistan,AFG,2022-02-02,35764976
Afghanistan,AFG,2022-02-07,35716360
Afghanistan,AFG,2022-02-14,35638320
Afghanistan,AFG,2022-02-20,35569720
Afghanistan,AFG,2022-02-27,35475280
Afghanistan,AFG,2022-03-06,35440690
Afghanistan,AFG,2022-03-17,35344324
Afghanistan,AFG,2022-03-22,35335964
Afghanistan,AFG,2022-04-04,35251332
Afghanistan,AFG,2022-04-14,35208256
Afghanistan,AFG,2022-04-18,35207644
Afghanistan,AFG,2022-04-26,35187596
Afghanistan,AFG,2022-04-27,35188812
Afghanistan,AFG,2022-05-05,35170030
Afghanistan,AFG,2022-05-08,35172890
Afghanistan,AFG,2022-05-10,35170140
Afghanistan,AFG,2022-05-15,35144430
Afghanistan,AFG,2022-05-23,35109580
Afghanistan,AFG,2022-06-01,35074384
Afghanistan,AFG,2022-06-15,34980316
Afghanistan,AFG,2022-06-21,34933476
Afghanistan,AFG,2022-06-30,34863980
Afghanistan,AFG,2022-07-10,34845150
Afghanistan,AFG,2022-07-17,34647836
Afghanistan,AFG,2022-07-19,33482590
Afghanistan,AFG,2022-07-27,33346532
Afghanistan,AFG,2022-08-07,31601202
Afghanistan,AFG,2022-08-15,30232138
Afghanistan,AFG,2022-08-22,30088156
Afghanistan,AFG,2022-08-31,29994564
Afghanistan,AFG,2022-09-04,29986574
Afghanistan,AFG,2022-09-11,29928332
Afghanistan,AFG,2022-09-12,29926846
Afghanistan,AFG,2022-09-19,29896830
Afghanistan,AFG,2022-09-26,29869712
Afghanistan,AFG,2022-09-28,29862878
Afghanistan,AFG,2022-10-04,29845182
Afghanistan,AFG,2022-10-11,29836412
Afghanistan,AFG,2022-10-16,29823278
Afghanistan,AFG,2022-10-24,29770202
Afghanistan,AFG,2022-11-01,29743378
Afghanistan,AFG,2022-11-02,29710718
Afghanistan,AFG,2022-11-08,29694038
Afghanistan,AFG,2022-11-15,29684552
Afghanistan,AFG,2022-11-16,29673216
Afghanistan,AFG,2022-11-27,29643596
Afghanistan,AFG,2022-12-05,29634700
Afghanistan,AFG,2022-12-22,29536714
Afghanistan,AFG,2023-01-06,29499252
Afghanistan,AFG,2023-01-16,29449696
Afghanistan,AFG,2023-01-22,29398060
Afghanistan,AFG,2023-01-29,29402920
Afghanistan,AFG,2023-02-12,29356472
Afghanistan,AFG,2023-02-14,29343084
Afghanistan,AFG,2023-02-19,28757858
Afghanistan,AFG,2023-02-23,28543882
Afghanistan,AFG,2023-02-26,27959204
Afghanistan,AFG,2023-02-28,27717596
Afghanistan,AFG,2023-03-05,27115822
Afghanistan,AFG,2023-03-12,26929498
Afghanistan,AFG,2023-03-14,26933028
Afghanistan,AFG,2023-03-19,26767936
Afghanistan,AFG,2023-03-21,26765398
Afghanistan,AFG,2023-03-26,26765150
Afghanistan,AFG,2023-03-28,26769534
Afghanistan,AFG,2023-04-02,26712010
Afghanistan,AFG,2023-04-09,26696552
Afghanistan,AFG,2023-04-11,26647196
Afghanistan,AFG,2023-04-16,26632274
Afghanistan,AFG,2023-04-18,26557782
Afghanistan,AFG,2023-04-24,26559064
Afghanistan,AFG,2023-04-25,26558636
Afghanistan,AFG,2023-04-30,26527378
Afghanistan,AFG,2023-05-03,26522608
Afghanistan,AFG,2023-05-09,26504340
Afghanistan,AFG,2023-05-14,26437298
Afghanistan,AFG,2023-05-16,26394994
Afghanistan,AFG,2023-05-21,26152766
Afghanistan,AFG,2023-05-29,25500314
Afghanistan,AFG,2023-06-06,24624044
Afghanistan,AFG,2023-06-11,24428676
Afghanistan,AFG,2023-06-13,24424408
Afghanistan,AFG,2023-06-18,24257236
Afghanistan,AFG,2023-06-20,24196530
Afghanistan,AFG,2023-06-27,24161738
Afghanistan,AFG,2023-07-04,24124328
Afghanistan,AFG,2023-07-09,24133240
Afghanistan,AFG,2023-07-11,24089490
Afghanistan,AFG,2023-07-18,24098786
Afghanistan,AFG,2023-07-23,24102824
Afghanistan,AFG,2023-07-25,24045186
Afghanistan,AFG,2023-07-30,24014526
Afghanistan,AFG,2023-08-01,23976418
Afghanistan,AFG,2023-08-06,23958844
Afghanistan,AFG,2023-08-08,23930954
Afghanistan,AFG,2023-08-15,23907520
Afghanistan,AFG,2023-08-20,23865212
Afghanistan,AFG,2023-08-27,23820208
Afghanistan,AFG,2023-09-01,23735488
Afghanistan,AFG,2023-09-05,23738838
Afghanistan,AFG,2023-09-10,23670590
Afghanistan,AFG,2023-09-17,23631838
Afghanistan,AFG,2023-09-19,23567350
Afghanistan,AFG,2023-09-26,23480684
Afghanistan,AFG,2023-10-08,23483926
Afghanistan,AFG,2023-10-16,23418150
Afghanistan,AFG,2023-10-24,23303460
Afghanistan,AFG,2023-11-05,23330370
Afghanistan,AFG,2023-11-07,23257010
Afghanistan,AFG,2023-11-14,23080624
Afghanistan,AFG,2023-11-26,23040074
Afghanistan,AFG,2023-12-31,22899764
Africa,,2020-12-02,1391570200
Africa,,2020-12-03,1391660400
Africa,,2020-12-04,1391750500
Africa,,2020-12-05,1391840800
Africa,,2020-12-06,1391931000
Africa,,2020-12-07,1392021200
Africa,,2020-12-08,1392111500
Africa,,2020-12-09,1392201700
Africa,,2020-12-10,1392292000
Africa,,2020-12-11,1392382200
Africa,,2020-12-12,1392472300
Africa,,2020-12-13,1392562600
Africa,,2020-12-14,1392652800
Africa,,2020-12-15,1392743000
Africa,,2020-12-16,1392833300
Africa,,2020-12-17,1392923500
Africa,,2020-12-18,1393013800
Africa,,2020-12-19,1393104000
Africa,,2020-12-20,1393194200
Africa,,2020-12-21,1393284400
Africa,,2020-12-22,1393374600
Africa,,2020-12-23,1393464800
Africa,,2020-12-24,1393555100
Africa,,2020-12-25,1393645300
Africa,,2020-12-26,1393735600
Africa,,2020-12-27,1393825800
Africa,,2020-12-28,1393916000
Africa,,2020-12-29,1394006100
Africa,,2020-12-30,1394096400
Africa,,2020-12-31,1394186600
Africa,,2021-01-01,1394276900
Africa,,2021-01-02,1394367100
Africa,,2021-01-03,1394457300
Africa,,2021-01-04,1394547600
Africa,,2021-01-05,1394637800
Africa,,2021-01-06,1394728000
Africa,,2021-01-07,1394818200
Africa,,2021-01-08,1394908400
Africa,,2021-01-09,1394998700
Africa,,2021-01-10,1395088400
Africa,,2021-01-11,1395178100
Africa,,2021-01-12,1395267800
Africa,,2021-01-13,1395357600
Africa,,2021-01-14,1395446800
Africa,,2021-01-15,1395536000
Africa,,2021-01-16,1395623300
Africa,,2021-01-17,1395712100
Africa,,2021-01-18,1395801100
Africa,,2021-01-19,1395889900
Africa,,2021-01-20,1395978000
Africa,,2021-01-21,1396066300
Africa,,2021-01-22,1396154800
Africa,,2021-01-23,1396243500
Africa,,2021-01-24,1396332900
Africa,,2021-01-25,1396422100
Africa,,2021-01-26,1396509300
Africa,,2021-01-27,1396596400
Africa,,2021-01-28,1396683100
Africa,,2021-01-29,1396771100
Africa,,2021-01-30,1396859600
Africa,,2021-01-31,1396941700
Africa,,2021-02-01,1397023900
Africa,,2021-02-02,1397106000
Africa,,2021-02-03,1397188500
Africa,,2021-02-04,1397271700
Africa,,2021-02-05,1397354800
Africa,,2021-02-06,1397437800
Africa,,2021-02-07,1397521000
Africa,,2021-02-08,1397604200
Africa,,2021-02-09,1397687400
Africa,,2021-02-10,1397770800
Africa,,2021-02-11,1397853700
Africa,,2021-02-12,1397935100
Africa,,2021-02-13,1398016400
Africa,,2021-02-14,1398099700
Africa,,2021-02-15,1398182900
Africa,,2021-02-16,1398262000
Africa,,2021-02-17,1398340000
Africa,,2021-02-18,1398414100
Africa,,2021-02-19,1398484600
Africa,,2021-02-20,1398451100
Africa,,2021-02-21,1398454700
Africa,,2021-02-22,1398453400
