Entity,Code,Day,"People fully vaccinated (cumulative, per hundred)"
Afghanistan,AFG,2021-05-11,0.13707635
Afghanistan,AFG,2021-05-20,0.19113407
Afghanistan,AFG,2021-05-24,0.238819
Afghanistan,AFG,2021-05-26,0.2737436
Afghanistan,AFG,2021-05-27,0.28029135
Afghanistan,AFG,2021-05-30,0.29553822
Afghanistan,AFG,2021-06-02,0.3563433
Afghanistan,AFG,2021-06-03,0.36596653
Afghanistan,AFG,2021-06-08,0.3902107
Afghanistan,AFG,2021-06-14,0.43684337
Afghanistan,AFG,2021-06-22,0.4528517
Afghanistan,AFG,2021-06-27,0.45900762
Afghanistan,AFG,2021-06-30,0.4624429
Afghanistan,AFG,2021-07-05,0.46655342
Afghanistan,AFG,2021-07-07,0.49101937
Afghanistan,AFG,2021-07-11,0.54008186
Afghanistan,AFG,2021-08-20,1.0614989
Afghanistan,AFG,2021-11-14,7.857811
Afghanistan,AFG,2021-12-27,9.249213
Afghanistan,AFG,2022-01-09,9.387534
Afghanistan,AFG,2022-01-11,9.401049
Afghanistan,AFG,2022-01-13,9.423101
Afghanistan,AFG,2022-01-17,9.445367
Afghanistan,AFG,2022-01-19,9.455003
Afghanistan,AFG,2022-01-24,9.490923
Afghanistan,AFG,2022-01-26,9.527819
Afghanistan,AFG,2022-01-27,9.53411
Afghanistan,AFG,2022-01-31,9.593252
Afghanistan,AFG,2022-02-02,9.641318
Afghanistan,AFG,2022-02-07,9.7585
Afghanistan,AFG,2022-02-14,9.964748
Afghanistan,AFG,2022-02-20,10.167162
Afghanistan,AFG,2022-02-27,10.42904
Afghanistan,AFG,2022-03-06,10.552134
Afghanistan,AFG,2022-03-17,10.850156
Afghanistan,AFG,2022-03-22,10.892688
Afghanistan,AFG,2022-04-04,11.169803
Afghanistan,AFG,2022-04-14,11.324881
Afghanistan,AFG,2022-04-18,11.343809
Afghanistan,AFG,2022-04-26,11.427003
Afghanistan,AFG,2022-04-27,11.427941
Afghanistan,AFG,2022-05-05,11.505992
Afghanistan,AFG,2022-05-08,11.5108
Afghanistan,AFG,2022-05-10,11.523797
Afghanistan,AFG,2022-05-15,11.608156
Afghanistan,AFG,2022-05-23,11.726371
Afghanistan,AFG,2022-06-01,11.848333
Afghanistan,AFG,2022-06-15,12.132146
Afghanistan,AFG,2022-06-21,12.272231
Afghanistan,AFG,2022-06-30,12.480468
Afghanistan,AFG,2022-07-10,12.581969
Afghanistan,AFG,2022-07-17,13.085153
Afghanistan,AFG,2022-07-19,15.827717
Afghanistan,AFG,2022-07-27,16.194366
Afghanistan,AFG,2022-08-07,20.38709
Afghanistan,AFG,2022-08-15,23.692087
Afghanistan,AFG,2022-08-22,24.08142
Afghanistan,AFG,2022-08-31,24.49451
Afghanistan,AFG,2022-09-04,24.553108
Afghanistan,AFG,2022-09-11,24.880125
Afghanistan,AFG,2022-09-12,24.90337
Afghanistan,AFG,2022-09-19,25.106155
Afghanistan,AFG,2022-09-26,25.218267
Afghanistan,AFG,2022-09-28,25.247595
Afghanistan,AFG,2022-10-04,25.329739
Afghanistan,AFG,2022-10-11,25.39055
Afghanistan,AFG,2022-10-16,25.451824
Afghanistan,AFG,2022-10-24,25.596643
Afghanistan,AFG,2022-11-01,25.695978
Afghanistan,AFG,2022-11-02,25.774382
Afghanistan,AFG,2022-11-08,25.850372
Afghanistan,AFG,2022-11-15,25.919186
Afghanistan,AFG,2022-11-16,25.953608
Afghanistan,AFG,2022-11-27,26.090136
Afghanistan,AFG,2022-12-05,26.160498
Afghanistan,AFG,2022-12-22,26.50356
Afghanistan,AFG,2023-01-06,26.67647
Afghanistan,AFG,2023-01-16,26.847754
Afghanistan,AFG,2023-01-22,27
Afghanistan,AFG,2023-01-29,27.026976
Afghanistan,AFG,2023-02-12,27.215536
Afghanistan,AFG,2023-02-14,27.262075
Afghanistan,AFG,2023-02-19,28.737843
Afghanistan,AFG,2023-02-23,29.288944
Afghanistan,AFG,2023-02-26,30.747532
Afghanistan,AFG,2023-02-28,31.354158
Afghanistan,AFG,2023-03-05,32.867115
Afghanistan,AFG,2023-03-12,33.37287
Afghanistan,AFG,2023-03-14,33.37779
Afghanistan,AFG,2023-03-19,33.818954
Afghanistan,AFG,2023-03-21,33.836704
Afghanistan,AFG,2023-03-26,33.866886
Afghanistan,AFG,2023-03-28,33.867924
Afghanistan,AFG,2023-04-02,34.04512
Afghanistan,AFG,2023-04-09,34.12238
Afghanistan,AFG,2023-04-11,34.256027
Afghanistan,AFG,2023-04-16,34.323566
Afghanistan,AFG,2023-04-18,34.51445
Afghanistan,AFG,2023-04-24,34.54669
Afghanistan,AFG,2023-04-25,34.553688
Afghanistan,AFG,2023-04-30,34.659077
Afghanistan,AFG,2023-05-03,34.688564
Afghanistan,AFG,2023-05-09,34.76935
Afghanistan,AFG,2023-05-14,34.962673
Afghanistan,AFG,2023-05-16,35.07736
Afghanistan,AFG,2023-05-21,35.738426
Afghanistan,AFG,2023-05-29,37.380947
Afghanistan,AFG,2023-06-06,39.58887
